longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,is_age_capped,is_price_capped,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_household,rooms_per_person,bedrooms_per_room
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,0,0,False,False,True,False,6.984126984126984,2.732919254658385,0.14659090909090908
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,0,0,False,False,True,False,6.238137082601054,2.9566847147022073,0.15579659106916466
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,1,0,False,False,True,False,8.288135593220339,2.9576612903225805,0.12951601908657123
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,1,0,False,False,True,False,5.8173515981735155,2.283154121863799,0.18445839874411302
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,1,0,False,False,True,False,6.281853281853282,2.879646017699115,0.1720958819913952
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,1,0,False,False,True,False,4.761658031088083,2.225181598062954,0.23177366702937977
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,1,0,False,False,True,False,4.9319066147859925,2.3171846435100547,0.19289940828402366
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,1,0,False,False,True,False,4.797527047913447,2.6828003457216942,0.22132731958762886
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,0,0,False,False,True,False,4.294117647058823,2.1185737976782755,0.2602739726027397
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,1,0,False,False,True,False,4.970588235294118,2.288201160541586,0.1992110453648915
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,1,0,False,False,True,False,5.477611940298507,2.4197802197802196,0.19709355131698456
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,1,0,False,False,True,False,4.772479564032698,2.329122340425532,0.2146731373108764
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,1,0,False,False,True,False,5.322649572649572,2.268670309653916,0.1902850260939382
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,1,0,False,False,True,False,4.0,2.017391304347826,0.2744252873563218
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,1,0,False,False,True,False,4.262903225806451,2.1806930693069306,0.23685206205069997
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,0,0,False,False,True,False,4.242424242424242,1.6068866571018652,0.2526785714285714
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,1,0,False,False,True,False,5.9395770392749245,2.479192938209332,0.17650050864699898
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,1,0,False,False,True,False,4.052805280528053,1.8950617283950617,0.23859934853420195
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,0,0,False,False,True,False,5.343675417661098,2.2616161616161614,0.20321572130415363
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,1,0,False,False,True,False,5.465454545454546,2.1782608695652175,0.19827012641383898
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,0,0,False,False,True,False,4.524096385542169,1.8361858190709046,0.24500665778961384
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,0,0,False,False,True,False,4.478142076502732,1.7642626480086114,0.2239170225747407
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,1,0,False,False,True,False,5.096234309623431,2.4,0.22208538587848933
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,1,0,False,False,True,False,5.193846153846154,1.9788980070339977,0.19964454976303317
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,1,0,False,False,True,False,5.270142180094787,2.210735586481113,0.19649280575539568
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,0,0,False,False,True,False,4.495798319327731,1.6876971608832807,0.22990654205607478
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,0,0,False,False,True,False,4.7280334728033475,1.8616144975288302,0.215929203539823
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,1,0,False,False,True,False,4.7808564231738035,1.7223230490018149,0.22181243414120128
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,0,0,False,False,True,False,4.40169133192389,1.8408488063660478,0.23631123919308358
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,1,0,False,False,True,False,4.703225806451613,1.8455696202531646,0.2194787379972565
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,0,0,False,False,True,False,5.068783068783069,2.220162224797219,0.23329853862212943
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,1,0,False,False,True,False,4.882086167800454,1.8433219178082192,0.22340919647004182
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,0,0,False,False,True,False,5.737313432835821,1.8732943469785575,0.21279916753381894
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,0,0,False,False,True,False,5.0303951367781155,2.1949602122015914,0.22114803625377644
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,0,0,False,False,True,False,4.972014925373134,2.118441971383148,0.2153846153846154
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,0,0,False,False,True,False,4.6022727272727275,2.1315789473684212,0.23209876543209876
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,0,0,False,False,True,False,4.807486631016043,1.8216818642350556,0.24026696329254726
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,1,0,False,False,True,False,3.7493796526054592,1.677025527192009,0.25810721376571805
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,1,0,False,False,True,False,4.757281553398058,2.1335268505079825,0.22448979591836735
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,1,0,False,False,True,False,3.4942528735632186,1.766158315177923,0.29399671052631576
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,1,0,False,False,True,False,4.215189873417722,1.7600422832980973,0.25165165165165165
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,0,0,False,False,True,False,3.7590361445783134,1.8104448742746615,0.33226495726495725
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,0,0,False,False,True,False,3.7724867724867726,1.5432900432900434,0.28330995792426367
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,1,0,False,False,True,False,4.797979797979798,2.0342612419700212,0.21263157894736842
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,1,0,False,False,True,False,4.941780821917808,2.1863636363636365,0.21552321552321552
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,1,0,False,False,True,False,4.335078534031414,2.3064066852367686,0.2536231884057971
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,0,0,False,False,True,False,3.700657894736842,1.8262987012987013,0.2862222222222222
